Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Mon, Nov 12, 2018",New Orleans Pelicans,126,Toronto Raptors,110
"Mon, Nov 12, 2018",Dallas Mavericks,103,Chicago Bulls,98
"Mon, Nov 12, 2018",Utah Jazz,96,Memphis Grizzlies,88
"Mon, Nov 12, 2018",Brooklyn Nets,113,Minnesota Timberwolves,120
"Mon, Nov 12, 2018",Phoenix Suns,101,Oklahoma City Thunder,118
"Mon, Nov 12, 2018",San Antonio Spurs,99,Sacramento Kings,104
"Mon, Nov 12, 2018",Golden State Warriors,116,Los Angeles Clippers,121
"Tue, Nov 13, 2018",Charlotte Hornets,89,Cleveland Cavaliers,113
"Tue, Nov 13, 2018",Houston Rockets,109,Denver Nuggets,99
"Tue, Nov 13, 2018",Atlanta Hawks,103,Golden State Warriors,110
"Wed, Nov 14, 2018",Philadelphia 76ers,106,Orlando Magic,111
"Wed, Nov 14, 2018",Cleveland Cavaliers,95,Washington Wizards,119
"Wed, Nov 14, 2018",Chicago Bulls,82,Boston Celtics,111
"Wed, Nov 14, 2018",Miami Heat,120,Brooklyn Nets,107
"Wed, Nov 14, 2018",Detroit Pistons,106,Toronto Raptors,104
"Wed, Nov 14, 2018",Memphis Grizzlies,116,Milwaukee Bucks,113
"Wed, Nov 14, 2018",New Orleans Pelicans,100,Minnesota Timberwolves,107
"Wed, Nov 14, 2018",New York Knicks,103,Oklahoma City Thunder,128
"Wed, Nov 14, 2018",Utah Jazz,68,Dallas Mavericks,118
"Wed, Nov 14, 2018",San Antonio Spurs,96,Phoenix Suns,116
"Wed, Nov 14, 2018",Portland Trail Blazers,117,Los Angeles Lakers,126
"Thu, Nov 15, 2018",Golden State Warriors,86,Houston Rockets,107
"Thu, Nov 15, 2018",Atlanta Hawks,93,Denver Nuggets,138
"Thu, Nov 15, 2018",San Antonio Spurs,111,Los Angeles Clippers,116
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Fri, Nov 16, 2018",Toronto Raptors,116,Boston Celtics,123
"Fri, Nov 16, 2018",Miami Heat,91,Indiana Pacers,99
"Fri, Nov 16, 2018",Utah Jazz,107,Philadelphia 76ers,113
"Fri, Nov 16, 2018",Brooklyn Nets,115,Washington Wizards,104
"Fri, Nov 16, 2018",Sacramento Kings,104,Memphis Grizzlies,112
"Fri, Nov 16, 2018",Portland Trail Blazers,96,Minnesota Timberwolves,112
"Fri, Nov 16, 2018",New York Knicks,124,New Orleans Pelicans,129
"Fri, Nov 16, 2018",Chicago Bulls,104,Milwaukee Bucks,123
"Sat, Nov 17, 2018",Los Angeles Clippers,127,Brooklyn Nets,119
"Sat, Nov 17, 2018",Philadelphia 76ers,122,Charlotte Hornets,119
"Sat, Nov 17, 2018",Atlanta Hawks,89,Indiana Pacers,97
"Sat, Nov 17, 2018",Denver Nuggets,115,New Orleans Pelicans,125
"Sat, Nov 17, 2018",Los Angeles Lakers,117,Orlando Magic,130
"Sat, Nov 17, 2018",Utah Jazz,98,Boston Celtics,86
"Sat, Nov 17, 2018",Toronto Raptors,122,Chicago Bulls,83
"Sat, Nov 17, 2018",Sacramento Kings,112,Houston Rockets,132
"Sat, Nov 17, 2018",Golden State Warriors,109,Dallas Mavericks,112
"Sat, Nov 17, 2018",Oklahoma City Thunder,110,Phoenix Suns,100
"Sun, Nov 18, 2018",Memphis Grizzlies,100,Minnesota Timberwolves,87
"Sun, Nov 18, 2018",Los Angeles Lakers,113,Miami Heat,97
"Sun, Nov 18, 2018",New York Knicks,117,Orlando Magic,131
"Sun, Nov 18, 2018",Portland Trail Blazers,119,Washington Wizards,109
"Sun, Nov 18, 2018",Golden State Warriors,92,San Antonio Spurs,104
"Mon, Nov 19, 2018",Boston Celtics,112,Charlotte Hornets,117
"Mon, Nov 19, 2018",Cleveland Cavaliers,102,Detroit Pistons,113
"Mon, Nov 19, 2018",Utah Jazz,94,Indiana Pacers,121
"Mon, Nov 19, 2018",Phoenix Suns,114,Philadelphia 76ers,119
"Mon, Nov 19, 2018",Los Angeles Clippers,127,Atlanta Hawks,119
"Mon, Nov 19, 2018",Dallas Mavericks,88,Memphis Grizzlies,98
"Mon, Nov 19, 2018",Denver Nuggets,98,Milwaukee Bucks,104
"Mon, Nov 19, 2018",San Antonio Spurs,126,New Orleans Pelicans,140
"Mon, Nov 19, 2018",Oklahoma City Thunder,113,Sacramento Kings,117
"Tue, Nov 20, 2018",Toronto Raptors,93,Orlando Magic,91
"Tue, Nov 20, 2018",Los Angeles Clippers,118,Washington Wizards,125
"Tue, Nov 20, 2018",Brooklyn Nets,104,Miami Heat,92
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Nov 20, 2018",Portland Trail Blazers,118,New York Knicks,114
"Wed, Nov 21, 2018",Indiana Pacers,109,Charlotte Hornets,127
"Wed, Nov 21, 2018",New Orleans Pelicans,120,Philadelphia 76ers,121
"Wed, Nov 21, 2018",Toronto Raptors,124,Atlanta Hawks,108
"Wed, Nov 21, 2018",New York Knicks,117,Boston Celtics,109
"Wed, Nov 21, 2018",Phoenix Suns,116,Chicago Bulls,124
"Wed, Nov 21, 2018",Los Angeles Lakers,109,Cleveland Cavaliers,105
"Wed, Nov 21, 2018",Detroit Pistons,124,Houston Rockets,126
"Wed, Nov 21, 2018",Portland Trail Blazers,100,Milwaukee Bucks,143
"Wed, Nov 21, 2018",Denver Nuggets,103,Minnesota Timberwolves,101
"Wed, Nov 21, 2018",Brooklyn Nets,113,Dallas Mavericks,119
"Wed, Nov 21, 2018",Memphis Grizzlies,104,San Antonio Spurs,103
"Wed, Nov 21, 2018",Sacramento Kings,119,Utah Jazz,110
"Wed, Nov 21, 2018",Oklahoma City Thunder,123,Golden State Warriors,95
"Fri, Nov 23, 2018",Minnesota Timberwolves,112,Brooklyn Nets,102
"Fri, Nov 23, 2018",Memphis Grizzlies,107,Los Angeles Clippers,112
"Fri, Nov 23, 2018",Houston Rockets,111,Detroit Pistons,116
"Fri, Nov 23, 2018",Boston Celtics,114,Atlanta Hawks,96
"Fri, Nov 23, 2018",New Orleans Pelicans,109,New York Knicks,114
"Fri, Nov 23, 2018",Cleveland Cavaliers,121,Philadelphia 76ers,112
"Fri, Nov 23, 2018",Washington Wizards,107,Toronto Raptors,125
"Fri, Nov 23, 2018",Miami Heat,103,Chicago Bulls,96
"Fri, Nov 23, 2018",San Antonio Spurs,111,Indiana Pacers,100
"Fri, Nov 23, 2018",Charlotte Hornets,104,Oklahoma City Thunder,109
"Fri, Nov 23, 2018",Phoenix Suns,116,Milwaukee Bucks,114
"Fri, Nov 23, 2018",Orlando Magic,87,Denver Nuggets,112
"Fri, Nov 23, 2018",Portland Trail Blazers,97,Golden State Warriors,125
"Fri, Nov 23, 2018",Utah Jazz,83,Los Angeles Lakers,90
"Sat, Nov 24, 2018",Houston Rockets,108,Cleveland Cavaliers,117
"Sat, Nov 24, 2018",Chicago Bulls,96,Minnesota Timberwolves,111
"Sat, Nov 24, 2018",Denver Nuggets,105,Oklahoma City Thunder,98
"Sat, Nov 24, 2018",New Orleans Pelicans,114,Washington Wizards,124
"Sat, Nov 24, 2018",Boston Celtics,104,Dallas Mavericks,113
"Sat, Nov 24, 2018",Sacramento Kings,116,Golden State Warriors,117
"Sat, Nov 24, 2018",San Antonio Spurs,129,Milwaukee Bucks,135
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Sun, Nov 25, 2018",Orlando Magic,108,Los Angeles Lakers,104
"Sun, Nov 25, 2018",Phoenix Suns,107,Detroit Pistons,118
"Sun, Nov 25, 2018",Charlotte Hornets,123,Atlanta Hawks,124
"Sun, Nov 25, 2018",Philadelphia 76ers,127,Brooklyn Nets,125
"Sun, Nov 25, 2018",New York Knicks,103,Memphis Grizzlies,98
"Sun, Nov 25, 2018",Miami Heat,115,Toronto Raptors,125
"Sun, Nov 25, 2018",Utah Jazz,133,Sacramento Kings,112
"Sun, Nov 25, 2018",Los Angeles Clippers,104,Portland Trail Blazers,100
"Mon, Nov 26, 2018",Milwaukee Bucks,107,Charlotte Hornets,110
"Mon, Nov 26, 2018",Minnesota Timberwolves,102,Cleveland Cavaliers,95
"Mon, Nov 26, 2018",Houston Rockets,131,Washington Wizards,135
"Mon, Nov 26, 2018",San Antonio Spurs,108,Chicago Bulls,107
"Mon, Nov 26, 2018",Boston Celtics,124,New Orleans Pelicans,107
"Mon, Nov 26, 2018",Indiana Pacers,121,Utah Jazz,88
"Mon, Nov 26, 2018",Orlando Magic,110,Golden State Warriors,116
"Tue, Nov 27, 2018",New York Knicks,108,Detroit Pistons,115
"Tue, Nov 27, 2018",Atlanta Hawks,115,Miami Heat,113
"Tue, Nov 27, 2018",Toronto Raptors,122,Memphis Grizzlies,114
"Tue, Nov 27, 2018",Los Angeles Lakers,85,Denver Nuggets,117
"Tue, Nov 27, 2018",Indiana Pacers,109,Phoenix Suns,104
"Wed, Nov 28, 2018",Atlanta Hawks,94,Charlotte Hornets,108
"Wed, Nov 28, 2018",New York Knicks,91,Philadelphia 76ers,117
"Wed, Nov 28, 2018",Utah Jazz,101,Brooklyn Nets,91
"Wed, Nov 28, 2018",Dallas Mavericks,128,Houston Rockets,108
"Wed, Nov 28, 2018",Chicago Bulls,113,Milwaukee Bucks,116
"Wed, Nov 28, 2018",San Antonio Spurs,89,Minnesota Timberwolves,128
"Wed, Nov 28, 2018",Washington Wizards,104,New Orleans Pelicans,125
"Wed, Nov 28, 2018",Cleveland Cavaliers,83,Oklahoma City Thunder,100
"Wed, Nov 28, 2018",Orlando Magic,112,Portland Trail Blazers,115
"Wed, Nov 28, 2018",Phoenix Suns,99,Los Angeles Clippers,115
"Thu, Nov 29, 2018",Golden State Warriors,128,Toronto Raptors,131
"Thu, Nov 29, 2018",Indiana Pacers,96,Los Angeles Lakers,104
"Thu, Nov 29, 2018",Los Angeles Clippers,133,Sacramento Kings,121
"Fri, Nov 30, 2018",Cleveland Cavaliers,95,Boston Celtics,128
"Fri, Nov 30, 2018",Utah Jazz,119,Charlotte Hornets,111
Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Fri, Nov 30, 2018",Chicago Bulls,88,Detroit Pistons,107
"Fri, Nov 30, 2018",Washington Wizards,98,Philadelphia 76ers,123
"Fri, Nov 30, 2018",Memphis Grizzlies,131,Brooklyn Nets,125
"Fri, Nov 30, 2018",New Orleans Pelicans,101,Miami Heat,106
"Fri, Nov 30, 2018",Atlanta Hawks,109,Oklahoma City Thunder,124
"Fri, Nov 30, 2018",Houston Rockets,136,San Antonio Spurs,105
"Fri, Nov 30, 2018",Orlando Magic,99,Phoenix Suns,85
"Fri, Nov 30, 2018",Dallas Mavericks,103,Los Angeles Lakers,114
"Fri, Nov 30, 2018",Denver Nuggets,113,Portland Trail Blazers,112
