cumulative_distance,n_game_road_trip,win?
0,0,1
636,1,0
964,2,1
0,0,0
0,0,1
3190,1,1
3750,2,1
4310,3,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
406,1,0
1126,2,0
2324,3,1
0,0,0
1466,1,1
3872,2,1
0,0,1
636,1,0
835,2,0
3261,3,0
5047,4,0
0,0,0
0,0,0
0,0,0
963,1,1
1823,2,1
0,0,1
1607,1,0
0,0,1
0,0,1
1543,1,0
0,0,1
1863,1,0
3511,2,0
0,0,1
1515,1,0
3398,2,1
4550,3,0
0,0,0
333,1,0
0,0,0
0,0,0
0,0,0
0,0,0
145,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,0
963,1,0
0,0,0
0,0,1
0,0,0
814,1,0
1761,2,0
0,0,1
1543,1,0
1874,2,0
3632,3,0
0,0,0
0,0,1
867,1,0
2426,2,0
4008,3,0
4787,4,1
5809,5,1
7444,6,0
0,0,1
0,0,1
0,0,1
774,1,1
782,2,1
0,0,0
0,0,1
1004,1,0
0,0,0
382,1,1
